# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       7.038690153840e+00       5.336429910441e+03       1.037486012008e+00       2.560144310771e-05       9.538102046960e-01       2.441891769108e-05       5.983384008191e+00      -2.341077569712e-13       3.574376518435e-04 
       7.177383789043e+00       5.288859231441e+03       1.007847594146e+00       2.573565600811e-05       9.526477162834e-01       2.451701392318e-05       5.596431941158e+00      -3.792780401487e-13       3.722370567119e-04 
       7.263887180704e+00       5.259795708141e+03       9.809182721066e-01       2.558074574501e-05       9.519380908487e-01       2.435128626699e-05       5.337114933059e+00      -4.755641455153e-13       3.814048276288e-04 
       7.327729158509e+00       5.238636162438e+03       9.556572036044e-01       2.530853112003e-05       9.514259641947e-01       2.407919362323e-05       5.136673453571e+00      -5.454140290391e-13       3.880857709970e-04 
       7.378788304491e+00       5.221887132227e+03       9.316159608698e-01       2.497531495935e-05       9.510255507349e-01       2.375216266399e-05       4.971090376800e+00      -5.982637000187e-13       3.933480472645e-04 
       7.421598797789e+00       5.207961138957e+03       9.085565124817e-01       2.460665947547e-05       9.506973736096e-01       2.339348653663e-05       4.828935195223e+00      -6.391306563530e-13       3.976868842321e-04 
       7.458628523560e+00       5.196000722872e+03       8.863342698270e-01       2.421637114967e-05       9.504199045608e-01       2.301572115688e-05       4.703789053590e+00      -6.710526621613e-13       4.013739218160e-04 
       7.491373819301e+00       5.185489222105e+03       8.648527465088e-01       2.381275849402e-05       9.501800698641e-01       2.262640852950e-05       4.591651785509e+00      -6.960303351238e-13       4.045749198137e-04 
       7.520812471614e+00       5.176090808271e+03       8.440429079419e-01       2.340120156422e-05       9.499693149266e-01       2.223042341842e-05       4.489844756886e+00      -7.154619140711e-13       4.073987928258e-04 
       7.547619605652e+00       5.167574674832e+03       8.238526279836e-01       2.298537121815e-05       9.497817261497e-01       2.183108555176e-05       4.396477228247e+00      -7.303688597056e-13       4.099211084066e-04 
       7.572281508809e+00       5.159775253571e+03       8.042408283004e-01       2.256787063357e-05       9.496130394899e-01       2.143074422716e-05       4.310159690663e+00      -7.415234212175e-13       4.121965355664e-04 
       7.595160390340e+00       5.152569676324e+03       7.851739987636e-01       2.215060015186e-05       9.494600758536e-01       2.103111050039e-05       4.229837917958e+00      -7.495255891918e-13       4.142659561968e-04 
